Name;Upgrades;AP;DP
Sovereign Aad Sphera;2;133-144;0
Sovereign Celestial Bo Staff;2;133-144;0
Sovereign Cestus;2;133-144;0
Sovereign Crescent Blade;2;133-144;0
Sovereign Crimson Glaives;2;133-144;0
Sovereign Dual Glaives;2;133-144;0
Sovereign Enlightened Blade;2;133-144;0
Sovereign Foxtail Fans;2;133-144;0
Sovereign Gradbrace;2;133-144;0
Sovereign Godr Sphera;2;133-144;0
Sovereign Greatbow;2;133-144;0
Sovereign Greatsword;2;133-144;0
Sovereign Iron Buster;2;133-144;0
Sovereign Jordun;2;133-144;0
Sovereign Kamasylven Sword;2;133-144;0
Sovereign Kerispear;2;133-144;0
Sovereign Kibelius;2;133-144;0
Sovereign Lancia;2;133-144;0
Sovereign Lil' Devil;2;133-144;0
Sovereign Patraca;2;133-144;0
Sovereign Sah Chakram;2;133-144;0
Sovereign Scythe;2;133-144;0
Sovereign Sledgehammer;2;133-144;0
Sovereign Soul Tome;2;133-144;0
Sovereign Sting;2;133-144;0
Sovereign Sura Katana;2;133-144;0
Sovereign Trion;2;133-144;0
Sovereign Verdiant;2;133-144;0
Primordial Artina Sol;3;134-145;0
Sovereign Aad Sphera;3;134-145;0
Sovereign Celestial Bo Staff;3;134-145;0
Sovereign Cestus;3;134-145;0
Sovereign Crescent Blade;3;134-145;0
Sovereign Crimson Glaives;3;134-145;0
Sovereign Dual Glaives;3;134-145;0
Sovereign Enlightened Blade;3;134-145;0
Sovereign Foxtail Fans;3;134-145;0
Sovereign Gradbrace;3;134-145;0
Sovereign Godr Sphera;3;134-145;0
Sovereign Greatbow;3;134-145;0
Sovereign Greatsword;3;134-145;0
Sovereign Iron Buster;3;134-145;0
Sovereign Jordun;3;134-145;0
Sovereign Kamasylven Sword;3;134-145;0
Sovereign Kerispear;3;134-145;0
Sovereign Kibelius;3;134-145;0
Sovereign Lancia;3;134-145;0
Sovereign Lil' Devil;3;134-145;0
Sovereign Patraca;3;134-145;0
Sovereign Sah Chakram;3;134-145;0
Sovereign Scythe;3;134-145;0
Sovereign Sledgehammer;3;134-145;0
Sovereign Soul Tome;3;134-145;0
Sovereign Sting;3;134-145;0
Sovereign Sura Katana;3;134-145;0
Sovereign Trion;3;134-145;0
Sovereign Verdiant;3;134-145;0
Primordial Artina Sol;4;136-147;0
Sovereign Aad Sphera;4;136-147;0
Sovereign Celestial Bo Staff;4;136-147;0
Sovereign Cestus;4;136-147;0
Sovereign Crescent Blade;4;136-147;0
Sovereign Crimson Glaives;4;136-147;0
Sovereign Dual Glaives;4;136-147;0
Sovereign Enlightened Blade;4;136-147;0
Sovereign Foxtail Fans;4;136-147;0
Sovereign Gradbrace;4;136-147;0
Sovereign Godr Sphera;4;136-147;0
Sovereign Greatbow;4;136-147;0
Sovereign Greatsword;4;136-147;0
Sovereign Iron Buster;4;136-147;0
Sovereign Jordun;4;136-147;0
Sovereign Kamasylven Sword;4;136-147;0
Sovereign Kerispear;4;136-147;0
Sovereign Kibelius;4;136-147;0
Sovereign Lancia;4;136-147;0
Sovereign Lil' Devil;4;136-147;0
Sovereign Patraca;4;136-147;0
Sovereign Sah Chakram;4;136-147;0
Sovereign Scythe;4;136-147;0
Sovereign Sledgehammer;4;136-147;0
Sovereign Soul Tome;4;136-147;0
Sovereign Sting;4;136-147;0
Sovereign Sura Katana;4;136-147;0
Sovereign Trion;4;136-147;0
Sovereign Verdiant;4;136-147;0
Primordial Artina Sol;5;137-148138;0
Sovereign Aad Sphera;5;137-148;0
Sovereign Celestial Bo Staff;5;137-148;0
Sovereign Cestus;5;137-148;0
Sovereign Crescent Blade;5;137-148;0
Sovereign Crimson Glaives;5;137-148;0
Sovereign Dual Glaives;5;137-148;0
Sovereign Enlightened Blade;5;137-148;0
Sovereign Foxtail Fans;5;137-148;0
Sovereign Gradbrace;5;137-148;0
Sovereign Godr Sphera;5;137-148;0
Sovereign Greatbow;5;137-148;0
Sovereign Greatsword;5;137-148;0
Sovereign Iron Buster;5;137-148;0
Sovereign Jordun;5;137-148;0
Sovereign Kamasylven Sword;5;137-148;0
Sovereign Kerispear;5;137-148;0
Sovereign Kibelius;5;137-148;0
Sovereign Lancia;5;137-148;0
Sovereign Lil' Devil;5;137-148;0
Sovereign Patraca;5;137-148;0
Sovereign Sah Chakram;5;137-148;0
Sovereign Scythe;5;137-148;0
Sovereign Sledgehammer;5;137-148;0
Sovereign Soul Tome;5;137-148;0
Sovereign Sting;5;137-148;0
Sovereign Sura Katana;5;137-148;0
Sovereign Trion;5;137-148;0
Sovereign Verdiant;5;137-148;0
Primordial Artina Sol;6;138-149;0
Sovereign Aad Sphera;6;138-149;0
Sovereign Celestial Bo Staff;6;138-149;0
Sovereign Cestus;6;138-149;0
Sovereign Crescent Blade;6;138-149;0
Sovereign Crimson Glaives;6;138-149;0
Sovereign Dual Glaives;6;138-149;0
Sovereign Enlightened Blade;6;138-149;0
Sovereign Foxtail Fans;6;138-149;0
Sovereign Gradbrace;6;138-149;0
Sovereign Godr Sphera;6;138-149;0
Sovereign Greatbow;6;138-149;0
Sovereign Greatsword;6;138-149;0
Sovereign Iron Buster;6;138-149;0
Sovereign Jordun;6;138-149;0
Sovereign Kamasylven Sword;6;138-149;0
Sovereign Kerispear;6;138-149;0
Sovereign Kibelius;6;138-149;0
Sovereign Lancia;6;138-149;0
Sovereign Lil' Devil;6;138-149;0
Sovereign Patraca;6;138-149;0
Sovereign Sah Chakram;6;138-149;0
Sovereign Scythe;6;138-149;0
Sovereign Sledgehammer;6;138-149;0
Sovereign Soul Tome;6;138-149;0
Sovereign Sting;6;138-149;0
Sovereign Sura Katana;6;138-149;0
Sovereign Trion;6;138-149;0
Sovereign Verdiant;6;138-149;0
Primordial Artina Sol;7;139-150;0
Sovereign Aad Sphera;7;139-150;0
Sovereign Celestial Bo Staff;7;139-150;0
Sovereign Cestus;7;139-150;0
Sovereign Crescent Blade;7;139-150;0
Sovereign Crimson Glaives;7;139-150;0
Sovereign Dual Glaives;7;139-150;0
Sovereign Enlightened Blade;7;139-150;0
Sovereign Foxtail Fans;7;139-150;0
Sovereign Gradbrace;7;139-150;0
Sovereign Godr Sphera;7;139-150;0
Sovereign Greatbow;7;139-150;0
Sovereign Greatsword;7;139-150;0
Sovereign Iron Buster;7;139-150;0
Sovereign Jordun;7;139-150;0
Sovereign Kamasylven Sword;7;139-150;0
Sovereign Kerispear;7;139-150;0
Sovereign Kibelius;7;139-150;0
Sovereign Lancia;7;139-150;0
Sovereign Lil' Devil;7;139-150;0
Sovereign Patraca;7;139-150;0
Sovereign Sah Chakram;7;139-150;0
Sovereign Scythe;7;139-150;0
Sovereign Sledgehammer;7;139-150;0
Sovereign Soul Tome;7;139-150;0
Sovereign Sting;7;139-150;0
Sovereign Sura Katana;7;139-150;0
Sovereign Trion;7;139-150;0
Sovereign Verdiant;7;139-150;0
Primordial Artina Sol;8;141-152;0
Sovereign Aad Sphera;8;141-152;0
Sovereign Celestial Bo Staff;8;141-152;0
Sovereign Cestus;8;141-152;0
Sovereign Crescent Blade;8;141-152;0
Sovereign Crimson Glaives;8;141-152;0
Sovereign Dual Glaives;8;141-152;0
Sovereign Enlightened Blade;8;141-152;0
Sovereign Foxtail Fans;8;141-152;0
Sovereign Gradbrace;8;141-152;0
Sovereign Godr Sphera;8;141-152;0
Sovereign Greatbow;8;141-152;0
Sovereign Greatsword;8;141-152;0
Sovereign Iron Buster;8;141-152;0
Sovereign Jordun;8;141-152;0
Sovereign Kamasylven Sword;8;141-152;0
Sovereign Kerispear;8;141-152;0
Sovereign Kibelius;8;141-152;0
Sovereign Lancia;8;141-152;0
Sovereign Lil' Devil;8;141-152;0
Sovereign Patraca;8;141-152;0
Sovereign Sah Chakram;8;141-152;0
Sovereign Scythe;8;141-152;0
Sovereign Sledgehammer;8;141-152;0
Sovereign Soul Tome;8;141-152;0
Sovereign Sting;8;141-152;0
Sovereign Sura Katana;8;141-152;0
Sovereign Trion;8;141-152;0
Sovereign Verdiant;8;141-152;0
Primordial Artina Sol;9;143-154;0
Sovereign Aad Sphera;9;143-154;0
Sovereign Celestial Bo Staff;9;143-154;0
Sovereign Cestus;9;143-154;0
Sovereign Crescent Blade;9;143-154;0
Sovereign Crimson Glaives;9;143-154;0
Sovereign Dual Glaives;9;143-154;0
Sovereign Enlightened Blade;9;143-154;0
Sovereign Foxtail Fans;9;143-154;0
Sovereign Gradbrace;9;143-154;0
Sovereign Godr Sphera;9;143-154;0
Sovereign Greatbow;9;143-154;0
Sovereign Greatsword;9;143-154;0
Sovereign Iron Buster;9;143-154;0
Sovereign Jordun;9;143-154;0
Sovereign Kamasylven Sword;9;143-154;0
Sovereign Kerispear;9;143-154;0
Sovereign Kibelius;9;143-154;0
Sovereign Lancia;9;143-154;0
Sovereign Lil' Devil;9;143-154;0
Sovereign Patraca;9;143-154;0
Sovereign Sah Chakram;9;143-154;0
Sovereign Scythe;9;143-154;0
Sovereign Sledgehammer;9;143-154;0
Sovereign Soul Tome;9;143-154;0
Sovereign Sting;9;143-154;0
Sovereign Sura Katana;9;143-154;0
Sovereign Trion;9;143-154;0
Sovereign Verdiant;9;143-154;0
Primordial Artina Sol;10;145-156;0
Sovereign Aad Sphera;10;145-156;0
Sovereign Celestial Bo Staff;10;145-156;0
Sovereign Cestus;10;145-156;0
Sovereign Crescent Blade;10;145-156;0
Sovereign Crimson Glaives;10;145-156;0
Sovereign Dual Glaives;10;145-156;0
Sovereign Enlightened Blade;10;145-156;0
Sovereign Foxtail Fans;10;145-156;0
Sovereign Gradbrace;10;145-156;0
Sovereign Godr Sphera;10;145-156;0
Sovereign Greatbow;10;145-156;0
Sovereign Greatsword;10;145-156;0
Sovereign Iron Buster;10;145-156;0
Sovereign Jordun;10;145-156;0
Sovereign Kamasylven Sword;10;145-156;0
Sovereign Kerispear;10;145-156;0
Sovereign Kibelius;10;145-156;0
Sovereign Lancia;10;145-156;0
Sovereign Lil' Devil;10;145-156;0
Sovereign Patraca;10;145-156;0
Sovereign Sah Chakram;10;145-156;0
Sovereign Scythe;10;145-156;0
Sovereign Sledgehammer;10;145-156;0
Sovereign Soul Tome;10;145-156;0
Sovereign Sting;10;145-156;0
Sovereign Sura Katana;10;145-156;0
Sovereign Trion;10;145-156;0
Sovereign Verdiant;10;145-156;0
